Doel-soort;LfMD;NrMD;MD;Code;"Jaar/
fase";Domein;Subdomein;Cluster;Leerplandoel;Voorbeelden;Woordenschat (richtinggevend)
P;K-;3.1.2;K-3.1.2;3.1.PF1.1;F1.;Organismen;Classificatie van organismen;Natuurbeleving;De leerling bouwt vertrouwdheid op met zintuiglijke prikkels uit de natuur in het hier en nu.;Tijdens een wandeling de leerling attent maken door 'samen-doen': voelen aan  schors van een boom of nat gras, verwondering spiegelen voor of aandacht richten op 'kijk', 'hoor' vogelgeluiden, bloemen die geuren, dieren in de omgeving van de school.;
P;K-;3.1.2;K-3.1.2;3.1.PF2.1;F2.;Organismen;Classificatie van organismen;Natuurbeleving;De leerling verkent zintuiglijke prikkels uit de natuur.;Voelen aan schors van een boom, gras, aarde… Horen van dierengeluiden, ruiken van dieren in de klas, bloemengeur.;
P;K-;3.1.2;K-3.1.2;3.1.PF2.2;F2.;Organismen;Classificatie van organismen;Natuurbeleving;De leerling reageert op zintuiglijke prikkels uit de natuur.;Hand wegtrekken, opnieuw voelen, voorkeur of afkeer tonen.;
P;K-;3.1.2;K-3.1.2;3.1.PF3.1;F3.;Organismen;Classificatie van organismen;Natuurbeleving;De leerling kan met ondersteuning taal koppelen aan voorbeelden van dieren, planten en mensen.;;bloemen, bomen, vissen, paarden
P;K-;3.1.2;K-3.1.2;3.1.PF3.2;F3.;Organismen;Classificatie van organismen;Natuurbeleving;De leerling legt met ondersteuning verbanden tussen voorbeelden en  de categorie (dieren, mensen, planten) waartoe ze behoren. ;Een konijn en een hond zijn beide dieren, ze zien er verschillend uit. We plukken bloemen met verschillende kleuren, mama en ik zijn allebei mensen.;
G;K-;3.1.1;K-3.1.1;3.1.GJK.1;JK.;Organismen;Classificatie van organismen;Begrippen;De leerlingen kennen het begrip: de planten.;;
G;K-;3.1.1;K-3.1.1;3.1.GJK.2;JK.;Organismen;Classificatie van organismen;Begrippen;De leerlingen kennen het begrip: de dieren.;;
G;K-;3.1.2;K-3.1.2;3.1.GK2.1;K2.;Organismen;Classificatie van organismen;;De leerlingen kunnen planten beschrijven op basis van waarneembare kenmerken.;;de vorm, de geur, de kleur, de grootte
G;K-;3.1.1;K-3.1.1;3.1.GK2.2;K2.;Organismen;Classificatie van organismen;Begrippen;De leerlingen kennen het begrip: de zoogdieren.;;
G;K-;3.1.2;K-3.1.2;3.1.GK2.3;K2.;Organismen;Classificatie van organismen;;De leerlingen kunnen zoogdieren beschrijven op basis van waarneembare kenmerken.;;"de bouw
de ledematen, het hoofd, het lichaam, de huid"
