Doel-soort;LfMD;nrMD;MD;Code;"Jaar/
fase";Domein;Subdomein;Cluster;Leerplandoel;Voorbeelden;Woordenschat (richtinggevend)
P;K-;2.1.1;K-2.1.1;2.1.PF3.1;F3.;Getallenkennis;Natuurlijke getallen;Gevoel voor hoeveelheid;De leerling koppelt met ondersteuning telwoorden aan zijn/haar handelen.;Met ondersteuning zoals samen-doen, modeling, herhaling of imitatie: alle knuffels uit de knuffelhoek op een rij leggen ondersteund door telwoorden van de leraar.;
G;K-;2.1.1;K-2.1.1;2.1.GJK.1;JK.;Getallenkennis;Natuurlijke getallen;Een getal interpreteren als een hoeveelheid;De leerlingen kennen de telrij van 0 tot en met 10 (akoestisch tellen) [F].;;
G;K-;2.1.1;K-2.1.1;2.1.GK2.1;K2.;Getallenkennis;Natuurlijke getallen;Een getal interpreteren als een hoeveelheid;De leerlingen kennen de telrij van 0 tot en met 10 (akoestisch tellen) [F] [H1].;;
+;;;;2.1.+K2.2;K2.;Getallenkennis;Natuurlijke getallen;Een getal interpreteren als een hoeveelheid;De leerling kent de telrij boven 10 (akoestisch tellen) [F].;;
G;K-;2.1.1;K-2.1.1;2.1.GK3.1;K3.;Getallenkennis;Natuurlijke getallen;Een getal interpreteren als een hoeveelheid;De leerlingen kennen de telrij van 0 tot en met 20 (akoestisch tellen) [F].;;
+;;;;2.1.+K3.2;K3.;Getallenkennis;Natuurlijke getallen;Een getal interpreteren als een hoeveelheid;De leerling kent de telrij boven 20 (akoestisch tellen) [F].;;
MD;K-;2.1.1;K-2.1.1;2.1.MD;;Getallenkennis;Natuurlijke getallen;;De kleuters kennen de telrij van 0 tot en met 20 (akoestisch tellen) [F].;;
P;K-;2.1.2;K-2.1.2;2.1.PF2.1;F2.;Getallenkennis;Natuurlijke getallen;Gevoel voor hoeveelheid;De leerling kan verschil ervaren tussen aanwezigheid en afwezigheid van een voorwerp of persoon. ;"Reageren wanneer een object verdwijnt of verschijnt; zoeken met blik of lichaam. ";
P;K-;2.1.2;K-2.1.2;2.1.PF2.2;F2.;Getallenkennis;Natuurlijke getallen;Gevoel voor hoeveelheid;De leerling kan reageren op verandering in hoeveelheid. ;"Iets komt erbij of verdwijnt; Onrust of alertheid wanneer stukje fruit wordt bijgelegd op bord of wordt weggenomen.";
S;K-;2.1.2;K-2.1.2;2.1.SF4.1;F4.;Getallenkennis;Natuurlijke getallen;Gevoel voor hoeveelheid;De leerling onderzoekt de wereld van de getallen in en rond de school. ;Foto's maken van alle cijfers/getallen in de school: de klasnummers, de telfoonnummer op noodplan, de huisnummers in de straat, het verkeersbord, cijfers op verpakkingen in de keuken…;
