Doelsoort;LfMD;Nr MD;MD;Code;"Jaar/
fase";Domein;Subdomein;Cluster;Leerplandoel;Voorbeelden;Woordenschat (richtinggevend);HOR COH binnen de discipline (wat op hetzelfde moment gebeurt) Verplicht;HOR COH met andere disciplines (wat op hetzelfde moment gebeurt);HOR COH binnen de discipline (wat op hetzelfde moment gebeurt) suggestief;"Dit LP-doel komt net na [code]
(= voorgaande doel)";"Dit LP-doel komt net voor [code]
(= volgende doel)"
P;;;;7.1.PF1.1;F1.;Kleinmotorische competenties;Kleinmotorische vaardigheden;;De leerling reageert met arm-, hand- en vingerbewegingen op zintuiglijke prikkels.;Beweegt handen bij aanraking, opent hand bij visuele prikkel, reageert op geluid met handbeweging, duwt ballon weg uit gezichtsveld.;;;;;;
P;;;;7.1.PF1.2;F1.;Kleinmotorische competenties;Kleinmotorische vaardigheden;;De leerling kan korte tijd een voorwerp vasthouden en loslaten.;Houdt rammelaar even vast, laat los bij vermoeidheid of nieuwe prikkel.;;;;;;
P;;;;7.1.PF1.3;F1.;Kleinmotorische competenties;Kleinmotorische vaardigheden;;De leerling wisselt spanning en ontspanning in handen af.;Hand sluit rond vinger, wisselt spanning opbouw en ontspanning in handen af door massage.;;;;;;
P;;;;7.1.PF1.4;F1.;Kleinmotorische competenties;Kleinmotorische vaardigheden;;De leerling reikt naar en duwt op bepaalde voorwerpen.;1-functieknop induwen in functionele situaties - duwen tegen autootje op tafelblad.;;;;;;
P;;;;7.1.PF1.5;F1.;Kleinmotorische competenties;Kleinmotorische vaardigheden;;De leerling grijpt met volle hand een voorwerp.;Neemt auto vast, pakt pamper in handen - greep is nog niet aangepast aan de afmetingen van het voorwerp - open en dichtdoen van de hand en iets vastnemen.;;;;;;
P;;;;7.1.PF2.1;F2.;Kleinmotorische competenties;Kleinmotorische vaardigheden;;De leerling kan een beginnende pincetgreep gebruiken tussen duim en wijsvinger.;Neemt klein voorwerp op, pakt kruimel, gebruikt duim en wijsvinger.;;;;;;
P;;;;7.1.PF2.2;F2.;Kleinmotorische competenties;Kleinmotorische vaardigheden;;De leerling kan de spanning in handen kort vasthouden en loslaten.;Houdt voorwerp enkele seconden vast, laat bewust los, wisselt grijpen en ontspannen.;;;;;;
P;;;;7.1.PF2.3;F2.;Kleinmotorische competenties;Kleinmotorische vaardigheden;;De leerling kan een voorwerp grijpen, vasthouden en loslaten met toenemende controle.;Reikt naar speelgoed, grijpt gericht, laat los boven doos.;;;;;;
P;;;;7.1.PF2.4;F2.;Kleinmotorische competenties;Kleinmotorische vaardigheden;;De leerling kan hand- en vingerbewegingen doelgericht inzetten om contact te maken met materialen.;Reikt naar object, raakt materiaal aan verschillend in textuur, vorm en gewicht en verkent met vingers.;;;;;;
P;;;;7.1.PF2.5;F2.;Kleinmotorische competenties;Kleinmotorische vaardigheden;;De leerling kan voorwerpen van de ene naar de andere hand overbrengen.;;;;;;;
P;;;;7.1.PF2.6;F2.;Kleinmotorische competenties;Kleinmotorische vaardigheden;;De leerling kan afzonderlijke vingers beginnend differentiëren tijdens manipulatie.;Beweegt wijsvinger, tikt met vinger, gebruikt duim en wijsvinger samen.;;;;;;
P;;;;7.1.PF2.7;F2.;Kleinmotorische competenties;Kleinmotorische vaardigheden;;De leerling kan hand- en vingerbewegingen herhalen en variëren binnen eenvoudige handelingen.;Herhaald tikken, knijpen en loslaten, bewegen vingers in spel.;;;;;;
P;;;;7.1.PF2.8;F2.;Kleinmotorische competenties;Kleinmotorische vaardigheden;;De leerling kan eenvoudige bewegingen uitvoeren met een vastgehouden voorwerp om een effect te bereiken.;Schudt rammelaar, slaat met blok, beweegt voorwerp om geluid te maken.;;;;;;
